date,temp_class,stp_class,hmdy_class,prcp_class,wdct_class,wdsp_class,state
2020-11-03,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-11-04,25 to 30,<980,>75,<0.1,S,<5,Haze
2020-11-05,25 to 30,<980,50 to 75,<0.1,S,<5,Clear
2020-11-06,25 to 30,<980,50 to 75,<0.1,S,<5,Clear
2020-11-07,25 to 30,<980,>75,<0.1,S,<5,Haze
2020-11-08,25 to 30,<980,>75,<0.1,S,<5,Haze
2020-11-09,25 to 30,<980,50 to 75,<0.1,S,<5,Clear
2020-11-10,25 to 30,<980,>75,<0.1,S,<5,Haze
2020-11-11,25 to 30,<980,>75,<0.1,S,<5,Haze
2020-11-12,<25,<980,>75,<0.1,S,<5,Haze
2020-11-13,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-11-14,<25,<980,25 to 50,<0.1,E,<5,Clear
2020-11-15,<25,<980,25 to 50,<0.1,S,<5,Clear
2020-11-16,<25,<980,25 to 50,<0.1,S,<5,Clear
2020-11-17,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-11-18,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-11-19,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-11-20,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-11-21,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-11-22,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-11-23,<25,<980,50 to 75,1 to 10,E,<5,Rain
2020-11-24,25 to 30,<980,50 to 75,1 to 10,E,<5,Rain
2020-11-25,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-11-26,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-11-27,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-11-28,<25,<980,>75,<0.1,E,<5,Haze
2020-11-29,<25,<980,>75,<0.1,N,<5,Haze
2020-11-30,<25,<980,>75,0.1 to 1,E,<5,Rain
2020-12-01,<25,<980,>75,<0.1,S,<5,Haze
2020-12-02,<25,<980,>75,<0.1,S,<5,Haze
2020-12-03,<25,<980,>75,<0.1,E,<5,Haze
2020-12-04,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-12-05,<25,<980,25 to 50,<0.1,S,<5,Clear
2020-12-06,<25,<980,25 to 50,<0.1,E,<5,Clear
2020-12-07,<25,<980,25 to 50,0.1 to 1,E,<5,Rain
2020-12-08,<25,<980,25 to 50,<0.1,N,<5,Clear
2020-12-09,<25,<980,25 to 50,<0.1,N,<5,Clear
2020-12-10,<25,<980,25 to 50,<0.1,N,<5,Clear
2020-12-11,<25,<980,25 to 50,<0.1,E,<5,Clear
2020-12-12,<25,<980,25 to 50,<0.1,W,<5,Clear
2020-12-13,<25,<980,25 to 50,<0.1,W,<5,Clear
2020-12-14,<25,<980,50 to 75,<0.1,W,5 to 10,Windy
2020-12-15,<25,<980,50 to 75,<0.1,W,<5,Clear
2020-12-16,<25,<980,50 to 75,0.1 to 1,S,<5,Rain
2020-12-17,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-12-18,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-12-19,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-12-20,<25,<980,50 to 75,<0.1,S,<5,Clear
2020-12-21,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-12-22,25 to 30,<980,>75,<0.1,E,<5,Haze
2020-12-23,25 to 30,<980,>75,<0.1,E,<5,Haze
2020-12-24,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-12-25,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2020-12-26,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-12-27,<25,<980,50 to 75,<0.1,E,<5,Clear
2020-12-28,<25,<980,>75,0.1 to 1,E,<5,Rain
2020-12-29,<25,<980,>75,0.1 to 1,E,<5,Rain
2020-12-30,<25,<980,>75,1 to 10,E,<5,Rain
2020-12-31,<25,<980,>75,<0.1,N,<5,Haze
2021-01-01,<25,<980,>75,<0.1,N,<5,Haze
2021-01-02,<25,<980,50 to 75,<0.1,N,<5,Clear
2021-01-03,<25,<980,>75,<0.1,N,<5,Haze
2021-01-04,<25,<980,>75,<0.1,N,<5,Haze
2021-01-05,<25,<980,50 to 75,<0.1,E,<5,Clear
2021-01-06,<25,<980,50 to 75,0.1 to 1,S,<5,Rain
2021-01-07,<25,<980,50 to 75,<0.1,S,<5,Clear
2021-01-08,<25,<980,>75,<0.1,E,<5,Haze
2021-01-09,<25,<980,>75,<0.1,E,<5,Haze
2021-01-10,<25,<980,>75,<0.1,E,<5,Haze
2021-01-11,25 to 30,<980,>75,<0.1,S,<5,Haze
2021-01-12,25 to 30,<980,>75,<0.1,E,<5,Haze
2021-01-13,<25,<980,>75,<0.1,E,<5,Haze
2021-01-14,<25,<980,>75,<0.1,E,<5,Haze
2021-01-15,<25,<980,>75,<0.1,E,<5,Haze
2021-01-16,<25,<980,>75,<0.1,E,<5,Haze
2021-01-17,25 to 30,<980,>75,<0.1,S,<5,Haze
2021-01-18,25 to 30,<980,>75,<0.1,S,<5,Haze
2021-01-19,25 to 30,<980,>75,0.1 to 1,S,<5,Rain
2021-01-20,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2021-01-21,25 to 30,<980,50 to 75,<0.1,E,5 to 10,Windy
2021-01-22,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2021-01-23,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2021-01-24,25 to 30,<980,50 to 75,<0.1,E,<5,Clear
2021-01-25,25 to 30,<980,50 to 75,0.1 to 1,E,<5,Rain
2021-01-26,<25,<980,50 to 75,<0.1,E,<5,Clear
2021-01-27,<25,980 to 990,50 to 75,<0.1,E,<5,Clear
2021-01-28,<25,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-01-29,<25,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-01-30,<25,980 to 990,50 to 75,1 to 10,S,<5,Rain
2021-01-31,<25,980 to 990,50 to 75,0.1 to 1,S,<5,Rain
2021-02-01,<25,980 to 990,>75,0.1 to 1,E,<5,Rain
2021-02-02,<25,980 to 990,>75,<0.1,S,<5,Haze
2021-02-03,<25,980 to 990,>75,<0.1,E,<5,Haze
2021-02-04,<25,980 to 990,>75,<0.1,S,<5,Haze
